text,language
Which witch is which?,English
Spare the rod and spoil the child,English
Laugh like a drain,English
Lo and behold,English
Grond vreet.,Afrikaans
"Dit verg meer moed om te ly, as om te sterf.",Afrikaans
Queer as a nine bob note,English
Chalk and cheese,English
Ek sal jou opkoffie as jy sê my span speel sleg.,Afrikaans
Hands down,English
Place for everything and everything in its place - A,English
Stranger danger,English
Battle royal,English
"Rag, tag and bobtail",English
Onder die besemstok staan.,Afrikaans
Twenty four seven,English
Ek verwonder my dat daardie sterk vrou so skielik dood is en daardie siek man so lank leef….,Afrikaans
Cat got your tongue?,English
Like it or lump it,English
Bezint eer gij begint.,Nederlands
How are the mighty fallen?,English
A foot in the door,English
Die plaas is nie ‘n koei wat in die hemel kos kry en op aard gemelk kan word nie.,Afrikaans
Spruce-up,English
Go whole hog,English
Whole nine yards - The,English
Bee in your bonnet,English
On the button,English
Die has been cast - The,English
Beat the living daylights out of someone,English
Take the cake,English
Wag tot Letjie kom.,Afrikaans
Four by two,English
Nip in the bud,English
Die berg het ‘n muis gebaar.,Afrikaans
Hunt and peck,English
Hy is op die afdraand met sy briek los.,Afrikaans
Woe betide you,English
Te laat vir sy eie begrafnis wees.,Afrikaans
Run out of steam,English
Loved-up,English
Back to basics,English
The pip - Get/got/have,English
Happy clappy,English
Die mens met min woorde se solder is so klein dat daar nie plek vir kaf is nie.,Afrikaans
"Geld is kleurblind, maar terselfdertyd uiters sensitief vir politike uitsprake.",Afrikaans
Hy is ‘n wolf in skaapklere.,Afrikaans
Beware the Ides of March,English
Not my cup of tea,English
Too much of a good thing,English
Riff-raff,English
Spitting feathers,English
Moenie oor my treur nie – wees bly dat ek eens hier was.,Afrikaans
Market forces,English
Indian summer,English
The balance of trade,English
Above board,English
Is the Pope Polish?,English
Better to have loved and lost than never to have loved at all,English
Plain sailing,English
Things that go bump in the night,English
"Wonder waar was Jors en sy meisie gisteraand, sy het al weer kruipknietjies.",Afrikaans
My giddy aunt,English
"Uit het oog, uit het hart.",Nederlands
Jy hou jou rammetjie-uitnek.,Afrikaans
Hy het kaplaks van die stoel af geval.,Afrikaans
Spelling-bee,English
By and large,English
Gebraaide duiwe vlieg niemand in die mond nie.,Afrikaans
Penny saved is a penny earned - A,English
That's all she wrote,English
"Die belangrikste eienskap wat ‘n jong meisie moet openbaar, is blymoedigheid in haar lewensuitkyk.",Afrikaans
Vir g’n geld of goeie woorde te kry nie.,Afrikaans
For all intents and purposes,English
"As die muis dik is, is die kaas bitter.",Afrikaans
Go berserk,English
Whole-hearted,English
Jors praat al weer Engels.,Afrikaans
Women and children first,English
Drink like a fish,English
(The) order of the boot,English
Without let or hindrance,English
Give a man a fish and you will feed him for a day,English
Nest-egg,English
‘n Blinde hoender vind ook ‘n korreltjie.,Afrikaans
Preposterous,English
"“Pasop vir Chantel, sy brand die kookwater”.",Afrikaans
Draai jou mantel na die wind.,Afrikaans
Necessity is the mother of invention,English
Labour of love,English
Butter wouldn't melt in his mouth,English
To big for your breeches,English
"Eind goed, al goed.",Nederlands
Air quotes,English
Jou brandewyn bloots drink.,Afrikaans
All publicity is good publicity,English
"Romeo, Romeo, wherefore art thou Romeo?",English
Panic stations,English
Pommy bashing,English
Get on my wick,English
For all intents and purposes,English
No man is an island,English
Die meisies by Tukkies is gek oor mieliestamp.,Afrikaans
Exception that proves the rule - The,English
P.D.Q. - pretty damn quick,English
Bane of your life,English
Bad hair day,English
Less is more,English
In the bag,English
"The ants are my friends, they're blowing in the wind",English
It came like a bolt from the blue,English
The bane of my life,English
Hy groei deur sy hare.,Afrikaans
"To sleep: perchance to dream: ay, there's the rub",English
An Englishman's home is his castle,English
Dis nou druiwe na die Boland stuur.,Afrikaans
Love is blind,English
Cliff-hanger,English
Put paid to,English
No more cakes and ale?,English
Come up trumps,English
"Jack of all trades, master of none",English
A woman needs a man like a fish needs a bicycle,English
Happy slapping,English
Word in your shell-like - A,English
Alte goed is buurmansgek.,Afrikaans
Shakers and movers,English
Jy hou jou latjiesbeen by ‘n meisie.,Afrikaans
Ne'er do well,English
Brandewyn raas as dit uit die vat uit kom.,Afrikaans
Met geweld kan mens jou duim in jou hol afbreek.,Afrikaans
Turn a blind eye,English
Shit for brains,English
"Die lewe het my leer dink, maar die dink het my nie leer leef nie.",Afrikaans
"Something old, something new, something borrowed, something blue",English
Five o'clock shadow,English
Hoe bewierook hy nou sy baas.,Afrikaans
Stand up guy,English
Go and boil your head,English
Against the grain,English
Curiosity killed the cat,English
"Ek sien die veld, die Bosse, Berge, Vlakte. Ek hoor hoe fluister grasse, stroom en wind. O Heer, U sorg vir klein, vir groot, vir alles en U sorg dag na dag vir my, U kind.",Afrikaans
Eers grootmense en dan langore.,Afrikaans
Bought the farm,English
Horse feathers,English
Fell swoop - At one,English
Bread always falls buttered side down,English
You can't get blood out of a stone,English
’n Gedurige gedrup maak ’n gat in ’n klip.,Afrikaans
Alle wegen leiden naar Rome.,Nederlands
Well heeled,English
Die doodskleed het geen sakke nie.,Afrikaans
Absence makes the heart grow fonder,English
Sy hempie is kort.,Afrikaans
Cut of your jib - The,English
Main chance,English
Silly season,English
Je moet de vieze was niet buiten hangen.,Nederlands
Lose your marbles,English
Barking up the wrong tree,English
Homonyms,English
All things come to he who waits,English
Birds of a feather flock together,English
Warts and all,English
Geld wat stom is maak reg wat krom is.,Afrikaans
Baby blues,English
Spill the beans,English
Buckle down,English
Hobby-horse,English
The birds and the bees,English
Vir kwaadgeld rondloop.,Afrikaans
Dog in the manger,English
As white as snow,English
Geld uit iemand se sak jaag.,Afrikaans
Vanish into thin air,English
